"Cidade","UF","Pais","cidade","lat","lon","freq"
"Morrinhos","Goiás","Brasil","Morrinhos, Goiás, Brasil",-17.7333689,-49.105908,93
"Taperoá","Paraíba","Brasil","Taperoá, Paraíba, Brasil",-7.206294,-36.824499,99
"Catingueira","Paraíba","Brasil","Catingueira, Paraíba, Brasil",-7.120081,-37.60638,37
"Mari","Paraíba","Brasil","Mari, Paraíba, Brasil",-7.0580611,-35.3184163,73
"Nova Floresta","Paraíba","Brasil","Nova Floresta, Paraíba, Brasil",-6.4554313,-36.2040005,10
"Cuité","Paraíba","Brasil","Cuité, Paraíba, Brasil",-6.4855072,-36.1478606,45
"Sossêgo","Paraíba","Brasil","Sossêgo, Paraíba, Brasil",-6.767694,-36.2455081,24
"Barra de Santa Rosa","Paraíba","Brasil","Barra de Santa Rosa, Paraíba, Brasil",-6.7218007,-36.0564638,19
"Pocinhos","Paraíba","Brasil","Pocinhos, Paraíba, Brasil",-7.076073,-36.0604474,19
"Damião","Paraíba","Brasil","Damião, Paraíba, Brasil",-6.64317595,-35.9338351930923,12
"Tenório","Paraíba","Brasil","Tenório, Paraíba, Brasil",-6.9408374,-36.6277956,8
"São Mamede","Paraíba","Brasil","São Mamede, Paraíba, Brasil",-6.923862,-37.095436,13
"Olivedos","Paraíba","Brasil","Olivedos, Paraíba, Brasil",-6.991036,-36.2437286,22
"Soledade","Paraíba","Brasil","Soledade, Paraíba, Brasil",-7.058292,-36.366791,40
"São José de Espinharas","Paraíba","Brasil","São José de Espinharas, Paraíba, Brasil",-6.8465204,-37.3250225,8
"Juazeirinho","Paraíba","Brasil","Juazeirinho, Paraíba, Brasil",-7.0688282,-36.5803059,26
"Mãe D'Água","Paraíba","Brasil","Mãe D'Água, Paraíba, Brasil",-7.2582944,-37.4269768,18
"Camutanga","Pernambuco","Brasil","Camutanga, Pernambuco, Brasil",-7.4092965,-35.2738166,8
"Santana do Livramento","Rio Grande do Sul","Brasil","Santana do Livramento, Rio Grande do Sul, Brasil",-30.8894097,-55.5317694,109
"Porangatu","Goiás","Brasil","Porangatu, Goiás, Brasil",-13.444663,-49.1423569,168
"Minaçu","Goiás","Brasil","Minaçu, Goiás, Brasil",-13.5336413,-48.2184889,26
"Angra dos Reis","Rio de Janeiro","Brasil","Angra dos Reis, Rio de Janeiro, Brasil",-23.0063966,-44.316326,91
"Barra Mansa","Rio de Janeiro","Brasil","Barra Mansa, Rio de Janeiro, Brasil",-22.5394843,-44.1735129,32
"Minduri","Minas Gerais","Brasil","Minduri, Minas Gerais, Brasil",-21.6817218,-44.6036995,2
"Passa Vinte","Minas Gerais","Brasil","Passa Vinte, Minas Gerais, Brasil",-22.209722,-44.234444,2
"Pereira Barreto","São Paulo","Brasil","Pereira Barreto, São Paulo, Brasil",-20.6378509,-51.1052172,15
"Esperança","Paraíba","Brasil","Esperança, Paraíba, Brasil",-7.018517,-35.852193,52
"Andradina","São Paulo","Brasil","Andradina, São Paulo, Brasil",-20.896505,-51.3742765,43
"Bragança","Pará","Brasil","Bragança, Pará, Brasil",-1.0573967,-46.7635406,147
"Viseu","Pará","Brasil","Viseu, Pará, Brasil",-1.204892,-46.1392244,37
"Tracuateua","Pará","Brasil","Tracuateua, Pará, Brasil",-1.0765338,-46.9030822,21
"Augusto Corrêa","Pará","Brasil","Augusto Corrêa, Pará, Brasil",-1.0229335,-46.6404029,18
"Ibirité","Minas Gerais","Brasil","Ibirité, Minas Gerais, Brasil",-20.0214251,-44.0621506,11
"São Mateus","Espírito Santo","Brasil","São Mateus, Espírito Santo, Brasil",-18.7157663,-39.8492211,117
"Barcarena","Pará","Brasil","Barcarena, Pará, Brasil",-1.5107945,-48.6190679,50
"Fagundes Varela","Rio Grande do Sul","Brasil","Fagundes Varela, Rio Grande do Sul, Brasil",-28.8807515,-51.6987798,1
"Mocajuba","Pará","Brasil","Mocajuba, Pará, Brasil",-2.583098,-49.504224,33
"Rancharia","São Paulo","Brasil","Rancharia, São Paulo, Brasil",-22.2294981,-50.8922333,32
"Laranja da Terra","Espírito Santo","Brasil","Laranja da Terra, Espírito Santo, Brasil",-19.8989653,-41.0584617,4
"Itaipulândia","Paraná","Brasil","Itaipulândia, Paraná, Brasil",-25.1417007,-54.2980691,17
"São Miguel do Iguaçu","Paraná","Brasil","São Miguel do Iguaçu, Paraná, Brasil",-25.349171,-54.240498,54
"Guaxupé","Minas Gerais","Brasil","Guaxupé, Minas Gerais, Brasil",-21.3087615,-46.7190609,77
"Palhoça","Santa Catarina","Brasil","Palhoça, Santa Catarina, Brasil",-27.6447774,-48.6646323,15
"Penedo","Alagoas","Brasil","Penedo, Alagoas, Brasil",-10.2872341,-36.5819262,60
"Assunção do Piauí","Piauí","Brasil","Assunção do Piauí, Piauí, Brasil",-5.8610212,-41.0485091,20
"Castro","Paraná","Brasil","Castro, Paraná, Brasil",-24.794072,-49.9972914,21
"Maragogi","Alagoas","Brasil","Maragogi, Alagoas, Brasil",-9.0118278,-35.222512,49
"Cambirá","Paraná","Brasil","Cambirá, Paraná, Brasil",-23.600265,-51.581045,2
"Barretos","São Paulo","Brasil","Barretos, São Paulo, Brasil",-20.5531437,-48.5697509,47
"Ipuã","São Paulo","Brasil","Ipuã, São Paulo, Brasil",-20.4441839,-48.012504,5
"Jurema","Piauí","Brasil","Jurema, Piauí, Brasil",-5.4435001,-42.1470309,8
"Caracol","Piauí","Brasil","Caracol, Piauí, Brasil",-9.2804898,-43.3284924,54
"Piranhas","Alagoas","Brasil","Piranhas, Alagoas, Brasil",-9.6115579,-37.7616366,53
"Pereiras","São Paulo","Brasil","Pereiras, São Paulo, Brasil",-23.0743096,-47.9746014,20
"Itapetininga","São Paulo","Brasil","Itapetininga, São Paulo, Brasil",-23.588607,-48.048326,70
"Bauru","São Paulo","Brasil","Bauru, São Paulo, Brasil",-22.3218102,-49.0705863,383
"Avaré","São Paulo","Brasil","Avaré, São Paulo, Brasil",-23.1045215,-48.9259103,101
"Guarantã","São Paulo","Brasil","Guarantã, São Paulo, Brasil",-21.8950705,-49.590107,8
"Jarinu","São Paulo","Brasil","Jarinu, São Paulo, Brasil",-23.0949584,-46.7148636,18
"Caroebe","Roraima","Brasil","Caroebe, Roraima, Brasil",0.8812315,-59.6932274,62
"Mairinque","São Paulo","Brasil","Mairinque, São Paulo, Brasil",-23.5401247,-47.1846323,23
"Diadema","São Paulo","Brasil","Diadema, São Paulo, Brasil",-23.681347,-46.62052,5
"Nova Mamoré","Rondônia","Brasil","Nova Mamoré, Rondônia, Brasil",-10.4104864,-65.3313761,85
"Franca","São Paulo","Brasil","Franca, São Paulo, Brasil",-20.5381768,-47.4009795,74
"Assis Brasil","Acre","Brasil","Assis Brasil, Acre, Brasil",-10.9409203,-69.5672108,134
"Indaiatuba","São Paulo","Brasil","Indaiatuba, São Paulo, Brasil",-23.09028,-47.21806,47
"Botucatu","São Paulo","Brasil","Botucatu, São Paulo, Brasil",-22.8879628,-48.4410712,86
"Cerqueira César","São Paulo","Brasil","Cerqueira César, São Paulo, Brasil",-23.0353135,-49.1650519,10
"São João Del Rei","Minas Gerais","Brasil","São João Del Rei, Minas Gerais, Brasil",-21.1335755,-44.2588086,125
"Cajazeiras","Paraíba","Brasil","Cajazeiras, Paraíba, Brasil",-6.8897849,-38.5570389,101
"Santo Antônio de Posse","São Paulo","Brasil","Santo Antônio de Posse, São Paulo, Brasil",-22.6054087,-46.9210727,23
"Itapira","São Paulo","Brasil","Itapira, São Paulo, Brasil",-22.436111,-46.821667,25
"Nuporanga","São Paulo","Brasil","Nuporanga, São Paulo, Brasil",-20.730877,-47.7522561,10
"Cubatão","São Paulo","Brasil","Cubatão, São Paulo, Brasil",-23.8857982,-46.4241869,23
"Santana do Ipanema","Alagoas","Brasil","Santana do Ipanema, Alagoas, Brasil",-9.369989,-37.248018,60
"Tobias Barreto","Sergipe","Brasil","Tobias Barreto, Sergipe, Brasil",-11.1878721,-38.0030397,83
"Lagarto","Sergipe","Brasil","Lagarto, Sergipe, Brasil",-10.9141791,-37.6715308,126
"Registro","São Paulo","Brasil","Registro, São Paulo, Brasil",-24.497942,-47.844895,62
"Santo Augusto","Rio Grande do Sul","Brasil","Santo Augusto, Rio Grande do Sul, Brasil",-27.852577,-53.777605,26
"Sabará","Minas Gerais","Brasil","Sabará, Minas Gerais, Brasil",-19.8900372,-43.8107916,78
"Marechal Cândido Rondon","Paraná","Brasil","Marechal Cândido Rondon, Paraná, Brasil",-24.5582532,-54.0587821,160
"Medianeira","Paraná","Brasil","Medianeira, Paraná, Brasil",-25.2954233,-54.0940666,135
"Inocência","Mato Grosso do Sul","Brasil","Inocência, Mato Grosso do Sul, Brasil",-19.7310751,-51.9307502,9
"Aparecida do Taboado","Mato Grosso do Sul","Brasil","Aparecida do Taboado, Mato Grosso do Sul, Brasil",-20.0840304,-51.1013943,53
"Boqueirão","Paraíba","Brasil","Boqueirão, Paraíba, Brasil",-7.487004,-36.130887,130
"São Luís do Paraitinga","São Paulo","Brasil","São Luís do Paraitinga, São Paulo, Brasil",-23.2220188,-45.3108724,2
"Socorro","São Paulo","Brasil","Socorro, São Paulo, Brasil",-22.5902619,-46.5249112,20
"Campos do Jordão","São Paulo","Brasil","Campos do Jordão, São Paulo, Brasil",-22.7395263,-45.5912829,9
"Engenheiro Coelho","São Paulo","Brasil","Engenheiro Coelho, São Paulo, Brasil",-22.4896659,-47.2119005,2
"São Bento do Sapucaí","São Paulo","Brasil","São Bento do Sapucaí, São Paulo, Brasil",-22.6884605,-45.7329767,5
"Itapeva","São Paulo","Brasil","Itapeva, São Paulo, Brasil",-23.9849105,-48.8803886,17
"Igaraçu do Tietê","São Paulo","Brasil","Igaraçu do Tietê, São Paulo, Brasil",-22.509044,-48.559672,2
"Capão Bonito","São Paulo","Brasil","Capão Bonito, São Paulo, Brasil",-24.0048759,-48.3489848,8
"Itápolis","São Paulo","Brasil","Itápolis, São Paulo, Brasil",-21.5958368,-48.8122696,14
"Amajari","Roraima","Brasil","Amajari, Roraima, Brasil",3.6523869,-61.4194315,187
"Garça","São Paulo","Brasil","Garça, São Paulo, Brasil",-22.2125766,-49.6547994,5
"Gália","São Paulo","Brasil","Gália, São Paulo, Brasil",-22.2936976,-49.5516228,2
"Cabo Frio","Rio de Janeiro","Brasil","Cabo Frio, Rio de Janeiro, Brasil",-22.8804369,-42.0189227,59
"Tartarugalzinho","Amapá","Brasil","Tartarugalzinho, Amapá, Brasil",1.506,-50.9119997,13
"Amapá","Amapá","Brasil","Amapá, Amapá, Brasil",2.0529997,-50.7930003,29
"Santana do Riacho","Minas Gerais","Brasil","Santana do Riacho, Minas Gerais, Brasil",-19.168611,-43.714444,26
"São Francisco do Guaporé","Rondônia","Brasil","São Francisco do Guaporé, Rondônia, Brasil",-12.0609982,-63.5668307,32
"Canudos","Bahia","Brasil","Canudos, Bahia, Brasil",-9.8948692,-39.0266244,30
"Casa Nova","Bahia","Brasil","Casa Nova, Bahia, Brasil",-9.1736775,-40.9734475,52
"Pedro Leopoldo","Minas Gerais","Brasil","Pedro Leopoldo, Minas Gerais, Brasil",-19.617778,-44.043055,38
"Senador Canedo","Goiás","Brasil","Senador Canedo, Goiás, Brasil",-16.7013233,-49.0914921,17
"Pune",NA,"Índia","Pune, NA, Índia",18.521428,73.8544541,7
"Ibimirim","Pernambuco","Brasil","Ibimirim, Pernambuco, Brasil",-8.5379259,-37.6941375,93
"CANCUN",NA,"MÉXICO","CANCUN, NA, MÉXICO",21.1617854,-86.8510468,3
"Ituberá","Bahia","Brasil","Ituberá, Bahia, Brasil",-13.7360764,-39.1481058,19
"Barra","Bahia","Brasil","Barra, Bahia, Brasil",-11.0892702,-43.1420453,36
"Formosa do Rio Preto","Bahia","Brasil","Formosa do Rio Preto, Bahia, Brasil",-11.0414544,-45.1903983,5
"Iracema","Roraima","Brasil","Iracema, Roraima, Brasil",2.1664742,-61.0513048,72
"Boa Vista","Paraíba","Brasil","Boa Vista, Paraíba, Brasil",-7.2620711,-36.2415161,2091
"São Luiz do Anauá","Roraima","Brasil","São Luiz do Anauá, Roraima, Brasil",0.8471131,-60.1440688090002,67
"Bataguassu","Mato Grosso do Sul","Brasil","Bataguassu, Mato Grosso do Sul, Brasil",-21.715899,-52.422058,28
"Palmeiras de Goiás","Goiás","Brasil","Palmeiras de Goiás, Goiás, Brasil",-16.8102393,-49.9234165,22
"Ibatiba","Espírito Santo","Brasil","Ibatiba, Espírito Santo, Brasil",-20.2342792,-41.5082981,10
"São Francisco do Brejão","Maranhão","Brasil","São Francisco do Brejão, Maranhão, Brasil",-5.124869,-47.3871865,9
"Corumbaíba","Goiás","Brasil","Corumbaíba, Goiás, Brasil",-18.1348982,-48.564223,30
"São Lourenço do Oeste","Santa Catarina","Brasil","São Lourenço do Oeste, Santa Catarina, Brasil",-26.35566,-52.849837,24
"Ilha de Itamaracá","Pernambuco","Brasil","Ilha de Itamaracá, Pernambuco, Brasil",-7.747664,-34.830319,10
"Ipojuca","Pernambuco","Brasil","Ipojuca, Pernambuco, Brasil",-8.3980773,-35.0611068,22
"Estrasburgo",NA,"França","Estrasburgo, NA, França",48.584614,7.7507127,2
"Itaguaí","Rio de Janeiro","Brasil","Itaguaí, Rio de Janeiro, Brasil",-22.8629597,-43.775322,54
"Candeias do Jamari","Rondônia","Brasil","Candeias do Jamari, Rondônia, Brasil",-8.7949939,-63.7018851,39
"Alta Floresta","Mato Grosso","Brasil","Alta Floresta, Mato Grosso, Brasil",-9.8715018,-56.0839881,119
"Santa Inês","Maranhão","Brasil","Santa Inês, Maranhão, Brasil",-3.6647821,-45.3826869,161
"Arapongas","Paraná","Brasil","Arapongas, Paraná, Brasil",-23.415296,-51.42592,49
"IgarapéAçu","Pará","Brasil","IgarapéAçu, Pará, Brasil",-1.3187797,-51.5287133,26
"Barra do Bugres","Mato Grosso","Brasil","Barra do Bugres, Mato Grosso, Brasil",-15.0683712,-57.1853688,36
"Sapiranga","Rio Grande do Sul","Brasil","Sapiranga, Rio Grande do Sul, Brasil",-29.6392382,-51.0068586,13
"Gravataí","Rio Grande do Sul","Brasil","Gravataí, Rio Grande do Sul, Brasil",-29.9440222,-50.9930938,14
"São Petersburgo",NA,"Rússia","São Petersburgo, NA, Rússia",59.9606739,30.1586551,1
"Santo Antônio do Tauá","Pará","Brasil","Santo Antônio do Tauá, Pará, Brasil",-1.1522,-48.131446,9
"Campo Grande","Alagoas","Brasil","Campo Grande, Alagoas, Brasil",-9.9725,-36.7479144736842,2725
"Tijucas","Santa Catarina","Brasil","Tijucas, Santa Catarina, Brasil",-27.239404,-48.6353696,7
"Osasco","São Paulo","Brasil","Osasco, São Paulo, Brasil",-23.5324859,-46.7916801,32
"Assis","São Paulo","Brasil","Assis, São Paulo, Brasil",-22.6620892,-50.420623,34
"Alto Santo","Ceará","Brasil","Alto Santo, Ceará, Brasil",-5.5190371,-38.2719351,12
"Salinas","Minas Gerais","Brasil","Salinas, Minas Gerais, Brasil",-16.1699073,-42.2910368,44
"Janaúba","Minas Gerais","Brasil","Janaúba, Minas Gerais, Brasil",-15.8019291,-43.309246,37
"Santa Rita","Paraíba","Brasil","Santa Rita, Paraíba, Brasil",-7.128465,-34.9846186,20
"Upanema","Rio Grande do Norte","Brasil","Upanema, Rio Grande do Norte, Brasil",-5.6431701,-37.2625341,86
"Bonfim","Minas Gerais","Brasil","Bonfim, Minas Gerais, Brasil",-18.2454459,-42.8901569,255
"Araquari","Santa Catarina","Brasil","Araquari, Santa Catarina, Brasil",-26.3703324,-48.7210994,40
"Jumirim","São Paulo","Brasil","Jumirim, São Paulo, Brasil",-23.0843839,-47.7882279,2
"Cerquilho","São Paulo","Brasil","Cerquilho, São Paulo, Brasil",-23.1626556,-47.7433878,11
"Parelhas","Rio Grande do Norte","Brasil","Parelhas, Rio Grande do Norte, Brasil",-6.691369,-36.6584475,48
"Caraí","Minas Gerais","Brasil","Caraí, Minas Gerais, Brasil",-17.1884104,-41.6976554,2
"Jaú","São Paulo","Brasil","Jaú, São Paulo, Brasil",-22.293585,-48.559193,44
"Palmeira das Missões","Rio Grande do Sul","Brasil","Palmeira das Missões, Rio Grande do Sul, Brasil",-27.9010519,-53.3135927,42
"Ibititá","Bahia","Brasil","Ibititá, Bahia, Brasil",-11.5461033,-41.9781838,4
"Lapão","Bahia","Brasil","Lapão, Bahia, Brasil",-11.3827148,-41.833808,2
"Pesqueira","Pernambuco","Brasil","Pesqueira, Pernambuco, Brasil",-8.3579952,-36.6971741,208
"Rorainópolis","Roraima","Brasil","Rorainópolis, Roraima, Brasil",0.9387308,-60.4236464,154
"Lavras da Mangabeira","Ceará","Brasil","Lavras da Mangabeira, Ceará, Brasil",-6.7519554,-38.9634019,6
"Iperó","São Paulo","Brasil","Iperó, São Paulo, Brasil",-23.3508977,-47.687611,118
"Anápolis","Goiás","Brasil","Anápolis, Goiás, Brasil",-16.3332828,-48.9525756,567
"Conceição do Mato Dentro","Minas Gerais","Brasil","Conceição do Mato Dentro, Minas Gerais, Brasil",-19.037222,-43.425278,28
"Anísio de Abreu","Piauí","Brasil","Anísio de Abreu, Piauí, Brasil",-9.185643,-43.04941,8
"Bom Sucesso","Minas Gerais","Brasil","Bom Sucesso, Minas Gerais, Brasil",-21.0323516,-44.7598082,22
"Barbacena","Minas Gerais","Brasil","Barbacena, Minas Gerais, Brasil",-21.2254524,-43.7735087,200
"Dom Inocêncio","Piauí","Brasil","Dom Inocêncio, Piauí, Brasil",-9.0009167,-41.974038,14
"Simões","Piauí","Brasil","Simões, Piauí, Brasil",-7.5970469,-40.8176003,16
"Ipuaçu","Santa Catarina","Brasil","Ipuaçu, Santa Catarina, Brasil",-26.6349873,-52.4555915,9
"São João do Piauí","Piauí","Brasil","São João do Piauí, Piauí, Brasil",-8.3601426,-42.2487642,61
"Brusque","Santa Catarina","Brasil","Brusque, Santa Catarina, Brasil",-27.0964628,-48.9136323,37
"Mucajaí","Roraima","Brasil","Mucajaí, Roraima, Brasil",2.4486084,-60.9199986,92
"São João da Baliza","Roraima","Brasil","São João da Baliza, Roraima, Brasil",0.951659,-59.913293,59
"Jaicos","Piauí","Brasil","Jaicos, Piauí, Brasil",-7.3584791,-41.1446059,3
"Pedreiras","Maranhão","Brasil","Pedreiras, Maranhão, Brasil",-4.5687989,-44.6003029,29
"Bugre","Minas Gerais","Brasil","Bugre, Minas Gerais, Brasil",-19.4257687,-42.2556,2
"Varzelândia","Minas Gerais","Brasil","Varzelândia, Minas Gerais, Brasil",-15.701667,-44.027223,9
"Santa Cruz do Sul","Rio Grande do Sul","Brasil","Santa Cruz do Sul, Rio Grande do Sul, Brasil",-29.7141799,-52.4284533,123
"Venâncio Aires","Rio Grande do Sul","Brasil","Venâncio Aires, Rio Grande do Sul, Brasil",-29.614306,-52.193159,32
"São João D'Aliança","Goiás","Brasil","São João D'Aliança, Goiás, Brasil",-14.7043453,-47.5206865,11
"Água Fria de Goiás","Goiás","Brasil","Água Fria de Goiás, Goiás, Brasil",-14.9803368,-47.7824312,5
"Alto Paraíso de Goiás","Goiás","Brasil","Alto Paraíso de Goiás, Goiás, Brasil",-14.1304779,-47.5100161,40
"Pará de Minas","Minas Gerais","Brasil","Pará de Minas, Minas Gerais, Brasil",-19.8599637,-44.6075313,35
"Cafelândia","Paraná","Brasil","Cafelândia, Paraná, Brasil",-24.6176963,-53.3218057,5
"Nova Aurora","Paraná","Brasil","Nova Aurora, Paraná, Brasil",-24.5282336,-53.2576703,4
"São José da Coroa Grande","Pernambuco","Brasil","São José da Coroa Grande, Pernambuco, Brasil",-8.889375,-35.151461,14
"Guaíra","Paraná","Brasil","Guaíra, Paraná, Brasil",-24.0851924,-54.2567519,247
"Bangkok",NA,"Tailândia","Bangkok, NA, Tailândia",13.7542529,100.493087,10
"São João de Pirabas","Pará","Brasil","São João de Pirabas, Pará, Brasil",-0.7733201,-47.1770631,11
"São Miguel dos Milagres","Alagoas","Brasil","São Miguel dos Milagres, Alagoas, Brasil",-9.267217,-35.376312,13
"Barreiros","Pernambuco","Brasil","Barreiros, Pernambuco, Brasil",-8.8159644,-35.1831905,38
"Cametá","Pará","Brasil","Cametá, Pará, Brasil",-2.242949,-49.497885,151
"Dois Vizinhos","Paraná","Brasil","Dois Vizinhos, Paraná, Brasil",-25.7464681,-53.0554369,101
"Nazaré da Mata","Pernambuco","Brasil","Nazaré da Mata, Pernambuco, Brasil",-7.7452689,-35.2286396,36
"Tavares","Rio Grande do Sul","Brasil","Tavares, Rio Grande do Sul, Brasil",-31.287471,-51.0897986,8
"Montanha","Espírito Santo","Brasil","Montanha, Espírito Santo, Brasil",-18.1256742,-40.366795,25
"Nova Venécia","Espírito Santo","Brasil","Nova Venécia, Espírito Santo, Brasil",-18.7063456,-40.3969786,44
"Pirapora","Minas Gerais","Brasil","Pirapora, Minas Gerais, Brasil",-17.3493765,-44.9507904,31
"Quixeré","Ceará","Brasil","Quixeré, Ceará, Brasil",-5.0742841,-37.9892825,6
"Limoeiro do Norte","Ceará","Brasil","Limoeiro do Norte, Ceará, Brasil",-5.1455607,-38.0984936,48
"Argel",NA,"Argélia","Argel, NA, Argélia",36.7753606,3.0601882,NA
"Brumadinho","Minas Gerais","Brasil","Brumadinho, Minas Gerais, Brasil",-20.143611,-44.2,34
"Colniza","Mato Grosso","Brasil","Colniza, Mato Grosso, Brasil",-9.4560637,-59.2197132,65
"Santa Rosa","Rio Grande do Sul","Brasil","Santa Rosa, Rio Grande do Sul, Brasil",-27.8643546,-54.4779287,64
"São Luiz Gonzaga","Rio Grande do Sul","Brasil","São Luiz Gonzaga, Rio Grande do Sul, Brasil",-28.4074546,-54.9609081,18
"Lupionópolis","Paraná","Brasil","Lupionópolis, Paraná, Brasil",-22.7558205,-51.6575301,2
"Sarandi","Rio Grande do Sul","Brasil","Sarandi, Rio Grande do Sul, Brasil",-27.942,-52.923085,21
"Piracicaba","São Paulo","Brasil","Piracicaba, São Paulo, Brasil",-22.72528,-47.64917,185
"Hidrolândia","Ceará","Brasil","Hidrolândia, Ceará, Brasil",-4.4084745,-40.4065472,20
"Buri","São Paulo","Brasil","Buri, São Paulo, Brasil",-23.79849,-48.598924,12
"Passos","Minas Gerais","Brasil","Passos, Minas Gerais, Brasil",-20.719162,-46.6094507,46
"Palmeira dos Índios","Alagoas","Brasil","Palmeira dos Índios, Alagoas, Brasil",-9.4076249,-36.6323616,135
"Ortigueira","Paraná","Brasil","Ortigueira, Paraná, Brasil",-24.2088891,-50.925043,5
"Abaetetuba","Pará","Brasil","Abaetetuba, Pará, Brasil",-1.721828,-48.878843,100
"Santa Rita de Ibitipoca","Minas Gerais","Brasil","Santa Rita de Ibitipoca, Minas Gerais, Brasil",-21.5625,-43.914722,6
"Anhembi","São Paulo","Brasil","Anhembi, São Paulo, Brasil",-22.7891096,-48.1316776,2
"Frederico Westphalen","Rio Grande do Sul","Brasil","Frederico Westphalen, Rio Grande do Sul, Brasil",-27.35711,-53.3964117,77
"Santa Quitéria","Ceará","Brasil","Santa Quitéria, Ceará, Brasil",-4.3336553,-40.1544913,39
"Muribeca","Sergipe","Brasil","Muribeca, Sergipe, Brasil",-10.4227085,-36.9567299,5
"Nova Esperança","Paraná","Brasil","Nova Esperança, Paraná, Brasil",-23.1818437,-52.1999852,7
"Paranavaí","Paraná","Brasil","Paranavaí, Paraná, Brasil",-23.08165,-52.461724,52
"Anamã","Amazonas","Brasil","Anamã, Amazonas, Brasil",-3.5797356,-61.4049996,84
"Anori","Amazonas","Brasil","Anori, Amazonas, Brasil",-3.7435254,-61.6605203,10
"Mâncio Lima","Acre","Brasil","Mâncio Lima, Acre, Brasil",-7.6145911,-72.905264,36
"Rio Novo do Sul","Espírito Santo","Brasil","Rio Novo do Sul, Espírito Santo, Brasil",-20.8641487,-40.9384378,19
"Artur Nogueira","São Paulo","Brasil","Artur Nogueira, São Paulo, Brasil",-22.572737,-47.172679,8
"Magé","Rio de Janeiro","Brasil","Magé, Rio de Janeiro, Brasil",-22.6604221,-43.0426162,16
"Porto Ferreira","São Paulo","Brasil","Porto Ferreira, São Paulo, Brasil",-21.8529134,-47.4794943,20
"Oeiras do Pará","Pará","Brasil","Oeiras do Pará, Pará, Brasil",-2.0040813,-49.8596065,41
"Limoeiro do Ajuru","Pará","Brasil","Limoeiro do Ajuru, Pará, Brasil",-1.88664405,-49.4957013489092,33
"Chapada da Natividade","Tocantins","Brasil","Chapada da Natividade, Tocantins, Brasil",-11.6119239,-47.7538517,8
"Igarapé-Miri","Pará","Brasil","Igarapé-Miri, Pará, Brasil",-1.9785213,-48.9634826,21
"Não-Me-Toque","Rio Grande do Sul","Brasil","Não-Me-Toque, Rio Grande do Sul, Brasil",-28.4575507,-52.8196547,87
"Ijuí","Rio Grande do Sul","Brasil","Ijuí, Rio Grande do Sul, Brasil",-28.388048,-53.91996,48
"Guatapará","São Paulo","Brasil","Guatapará, São Paulo, Brasil",-21.496092,-48.0360685,12
"Autazes","Amazonas","Brasil","Autazes, Amazonas, Brasil",-3.5833283,-59.1301518,60
"Areal","Rio de Janeiro","Brasil","Areal, Rio de Janeiro, Brasil",-22.2314922,-43.1056264,22
"Paraíba do Sul","Rio de Janeiro","Brasil","Paraíba do Sul, Rio de Janeiro, Brasil",-22.1636384,-43.2916915,8
"Júlio de Castilhos","Rio Grande do Sul","Brasil","Júlio de Castilhos, Rio Grande do Sul, Brasil",-29.2286575,-53.6825217,35
"Canutama","Amazonas","Brasil","Canutama, Amazonas, Brasil",-6.5330019,-64.3834966,47
"Nova Olinda do Norte","Amazonas","Brasil","Nova Olinda do Norte, Amazonas, Brasil",-3.8926889,-59.0953046,72
"Águas Lindas de Goiás","Goiás","Brasil","Águas Lindas de Goiás, Goiás, Brasil",-15.7392283,-48.2793357,57
"Águas de Santa Bárbara","São Paulo","Brasil","Águas de Santa Bárbara, São Paulo, Brasil",-22.8821912,-49.2383956,1
"Jardim","Mato Grosso do Sul","Brasil","Jardim, Mato Grosso do Sul, Brasil",-21.479941,-56.148902,55
"Bonito","Mato Grosso do Sul","Brasil","Bonito, Mato Grosso do Sul, Brasil",-21.1264766,-56.4902208,40
"Ubá","Minas Gerais","Brasil","Ubá, Minas Gerais, Brasil",-21.12,-42.942777,18
"Porto Murtinho","Mato Grosso do Sul","Brasil","Porto Murtinho, Mato Grosso do Sul, Brasil",-21.698078,-57.883586,151
"Neópolis","Sergipe","Brasil","Neópolis, Sergipe, Brasil",-10.3169887,-36.5768904,14
"Amambaí","Mato Grosso do Sul","Brasil","Amambaí, Mato Grosso do Sul, Brasil",-23.1082701,-55.2284854,247
"Antonina","Paraná","Brasil","Antonina, Paraná, Brasil",-25.4298854,-48.7125431,17
"Itatiaiuçu","Minas Gerais","Brasil","Itatiaiuçu, Minas Gerais, Brasil",-20.1975724,-44.4224889,6
"Valença","Bahia","Brasil","Valença, Bahia, Brasil",-13.3723582,-39.0694243,39
"Medicilândia","Pará","Brasil","Medicilândia, Pará, Brasil",-3.4438388,-52.8889236,13
"Sapezal","Mato Grosso","Brasil","Sapezal, Mato Grosso, Brasil",-13.547958,-58.8146235,16
"Sorriso","Mato Grosso","Brasil","Sorriso, Mato Grosso, Brasil",-12.5444887,-55.7233972,108
"Porto Esperidião","Mato Grosso","Brasil","Porto Esperidião, Mato Grosso, Brasil",-15.8521665,-58.4693093,359
"Vinhedo","São Paulo","Brasil","Vinhedo, São Paulo, Brasil",-23.0298535,-46.9749847,35
"Mirassol D'Oeste","Mato Grosso","Brasil","Mirassol D'Oeste, Mato Grosso, Brasil",-15.675947,-58.0951397,24
"Jacarezinho","Paraná","Brasil","Jacarezinho, Paraná, Brasil",-23.159115,-49.973889,27
